Metric,Value
Test Type,micro
Source API,Google Ads API
Total Players,5
Total Markets,2
Total Keywords,150
API Cost,$0
Date Range,"2024-07-01 to 2025-07-01"
API Mode,Sandbox
Timestamp,2025-09-10T15:02:39.406Z
